;Name;Worldwide;Domestic;Duration;Year;Country;Director;Top_Director;Director_Category;Continent_ABD;Continent_Asia;Continent_Australia;Continent_Europe;Continent_Multi Nation;Continent_North America;MovieType_Aile;MovieType_Aksiyon;MovieType_Animasyon;MovieType_Belgesel;MovieType_Bilim Kurgu;MovieType_Dram;MovieType_Fantastik;MovieType_Gerilim;MovieType_Gizem;MovieType_Komedi;MovieType_Korku;MovieType_Macera;MovieType_Savas
1654;Transformers: The Last Knight;605425157;130168683;155;2017;ABD;Michael Bay;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1655;Kong: Skull Island;568652812;168052812;120;2017;Multi Nation;Jordan Vogt-Roberts;0;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1656;The Boss Baby;527965936;175003033;97;2017;ABD;Tom McGrath;0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
1657;Dunkirk;526045546;188045546;107;2017;Multi Nation;Christopher Nolan;1;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1658;War for the Planet of the Apes;490719763;146880162;140;2017;Multi Nation;Matt Reeves;0;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1659;The Greatest Showman;434993183;174340174;105;2017;ABD;Michael Gracey;0;3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1660;Kingsman: The Golden Circle;410902662;100234838;141;2017;Multi Nation;Matthew Vaughn;0;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1661;Cars 3;383930656;152901115;102;2017;ABD;Brian Fee (i);0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
1662;Fifty Shades Darker;381545846;114581250;118;2017;ABD;James Foley;0;3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1663;Murder on the Orient Express;352789811;102826543;114;2017;Multi Nation;Kenneth Branagh;0;3;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1664;Annabelle: Creation;306592201;102092201;109;2017;ABD;David F. Sandberg;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
1665;Wonder;305937718;132422809;113;2017;ABD;Stephen Chbosky;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
1666;Split;278454358;138291365;117;2016;ABD;M. Night Shyamalan;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
1667;Blade Runner 2049;259154159;92054159;164;2017;Multi Nation;Denis Villeneuve;0;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1668;Get Out;255407969;176040665;104;2017;ABD;Jordan Peele;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
1669;Alien: Covenant;240891763;74262031;122;2017;Multi Nation;Ridley Scott;1;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1670;Youth;227091290;1891956;125;2015;Multi Nation;Paolo Sorrentino;0;3;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
